B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,MA,I,1,0.16,0,2PACz,1.58,2-methoxyethanol,Cu,C60 | BCP,N2,Slot-die coating,0,100,14.89,1.085,19.778,0.718
Pb,Cs; FA; MA,Br; I,1,1,0,PEDOT:PSS,,DMF; DMSO,Ag,C60 | BCP,N2,Spin-coating,0,105,3.5,,,0.26
Pb,MA,I,1,0.05,0,CuSCN,1.6,DMF,Al,PCBM-60,Unknown,Spin-coating,0,100,11.7,0.98,18.3,0.631
Pb,MA,I,0,,0,P3HT | Spiro-OMeTAD,1.6,Unknown,Au,TiO2-c | TiO2-mp,Ambient air,Spin-coating,0,,9.1,0.864,15.65,0.671
Pb,Cs; FA; MA,I,0,,0,PTAA,1.51,Unknown,Ag,PCBM-60,N2,Two-step deposition,0,,18.67,,,
Pb,MA,I,1,0.1,0,Spiro-MeOTAD,1.6,GBL,Au,TiO2-c | TiO2-mp,Air,Spin-coating,0,100,11.6,1.01,17.3,0.664
Pb,Cs; FA; MA,Br; I,1,0.16,0,PEDOT:PSS,1.6,DMF; DMSO,Cu,C60 | BCP,N2,Spin-coating,0,100,11.36,0.915,17.373,0.715
Pb,MA,I,0,0.09,0,Spiro-MeOTAD,1.6,DMF >> IPA,Au,TiO2-c | TiO2-mp,Air >> Air,Spin-coating >> Spin-coating,0,,,0.81,19,
Pb; Sn,MA,Br; I,1,0.1,0,PEDOT:PSS,1.73,DMSO; GBL,Ag,PCBM-60 | bis-C60,Air,Spin-coating,0,100,11.11,0.99,15.16,0.74
Pb,MA,I,0,0.11,0,PEDOT:PSS,1.6,DMSO; GBL,Al,C60 | BCP,N2,Spin-coating,0,100,12.21,0.83,21.7,0.68
Pb,MA,I,0,0.152,0,none,1.6,DMF >> IPA,Carbon,TiO2-c | TiO2-mp,Unknown,Spin-coating >> Spin-coating,0,,7.7,0.8,16.4,0.45
Pb,MA,I,1,0.0813,1,Spiro-MeOTAD,1.6,DMF,Au,TiO2-c,N2,Spin-coating,0,100,13.28,1.05,19.3,0.66
Pb,MA,I,0,0.16,0,PEDOT:PSS,1.6,DMF,Al,PCBM-60 | TiO2,Unknown,Spin-coating,0,90,7.2,0.854,19.2,0.436
Sn,FA,I,1,0.09,0,PEDOT:PSS,,DMSO,Ag,C60 | BCP,N2,Spin-coating,0,,8.62,0.632,20.37,0.693
Pb,Cs; FA; MA,Br; I,1,,0,Spiro-MeOTAD,,DMF; DMSO,Au,SnO2-np,N2,Spin-coating,0,135,19.25,1.14,22.56,0.75
Pb,MA,I,0,4,0,PEDOT:PSS,1.6,Unknown >> none >> none,Ag,PCBM-60 | BCP,Unknown >> Vacuum >> Air,Spin-coating >> Evaporation >> Spray-coating,0,,9.11,0.885,15.11,0.681
Pb,MA,I,1,0.09,0,Spiro-MeOTAD,1.6,DMF; DMSO,Au,TiO2-c | SnO2-np,Ambient,Spin-coating,0,,14.57,1.04,20.32,0.714
Pb,MA,I,0,,0,Spiro-OMeTAD,1.55,GBL; DMSO; HFB,Au,SnO2-PbO | SnO2-c,Dry air,Doctor blading,0,,16.5,,,
Pb,Cs; FA; MA,Br; I,1,0.16,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c | TiO2-mp,Dry air,Spin-coating,0,100,19.5,0.023,1.113,0.764
Pb,MA,I,1,0.07,0,BDT-POZ,1.6,DMF; DMSO,Ag,PCBM-60 | BCP,Unknown,Spin-coating,0,100,19.19,1.04,22.56,0.817
Pb,Cs; FA; MA,Br; I,1,0.16,0,Spiro-MeOTAD,1.6,DMF; DMSO,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,100,18.87,1.1,23.28,0.74
