B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
1,1,3,0,0,0,Unknown,1.55,1,Unknown,5.0 | 20.0,DMF,Liquid,0,,0.76,18.74,1.05,23.54
1,1,3,0,,0,Unknown,1.55,0.9; 0.1 >> nan,Unknown,30,DMF; DMSO >> IPA,Unknown,0,600,0.785,,1.12,23.28
1,1,3,0,0,0,Unknown,1.6,9; 2 >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.744,17.76,1.01,23.62
1,0.83; 0.17,0.0; 2.51,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.75,17,1.06,22.4
1,1,3,0,0,0,Unknown,1.6,nan >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.78,15.55,0.97,20.42
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.64,10,0.93,16.6
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,50,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.71,16.5,0.97,24.2
1,1,3,0,0,0,Unknown,,7.7; 1,Unknown,40.0 | 8.0,DMF; DMSO,Liquid,0,,0.78,17.23,1.09,20.21
1,0.049; 0.931; 0.02,0.03; 0.06; 2.91,0,,0,Unknown,1.54,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.795,,1.15,24.15
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,60,0.647,12.62,0.98,19.89
5,2; 4,16,0,0,0,Unknown,1.5,1,Unknown,Unknown,DMF,Liquid,0,35,0.762,18.01,1.048,22.57
1,1,3,0,0,0,200,1.58,1 >> 1,Unknown,200,DMF >> IPA,Liquid >> Liquid,0,,0.23,0,0.645,0.004
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,45.0 | 8.0,DMF >> Methanol,Liquid >> Liquid,0,,0.767,16.82,1.04,21.11
1,1,3,0,0,0,Unknown,1.6,1 >> 1 >> 1,Unknown,Unknown,DMF >> IPA >> IPA,Liquid >> Liquid >> Liquid,0,,0.649,10.63,0.93,17.6
1,1,3,0,0,0,40,1.6,1,Unknown,20.0 | 10.0,GBL,Liquid,0,15,0.682,15.3,1.02,21.96
1,0.05; 0.85; 0.1,0.3; 2.7,0,0,0,Unknown,,4; 1,Unknown,30.0 | 200.0,DMF; DMSO,Liquid,0,1,0.76,20.44,1.089,24.53
1,0.05; 0.79; 0.16,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,90,0.77,18.4,1.071,22.3
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,10,0.63,10.17,1.08,14.94
1,1,3,0,0,0,Unknown,,1,Unknown,Unknown,none,Gas,0,5,0.65,8.2,0.83,15.4
1,1,3,0,0,0,70,1.6,3; 7,Unknown,20,DMSO; GBL,Liquid,0,10,0.44,5.35,0.68,17.74
1,0.05; 0.89; 0.6,0.06; 2.94,0,0,0,100,,900; 105 >> 1,Unknown,nan | 150.0,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.7,16.7,1.084,21.9
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.63,8.42,0.996,13.5
1,1,3,0,0,0,Unknown,1.571,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,10,0.645,14.5,1.05,21.56
1,1,3,0,0,0,30,1.55,1,Unknown,3.0 | 57.0,DMF,Liquid,0,120,0.61,9.57,0.769,20.6
1,0.05; 0.85; 0.15,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,25,0.745,19.25,1.13,22.46
1,0.75; 0.25,0.5; 2.5,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.35,2.4,0.93,7.2
1,1,3,0,0,0,Unknown,1.6,9; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,15,,14.72,,19.19
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Liquid,0,45,0.624,8.21,1.01,13
1,1,3,0,0,0,Unknown,1.6,1,Unknown,40,DMF,Liquid,0,120,0.56,6.8,0.84,14.3
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,60,0.76,14.54,0.9,21.25
1,1,3,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,10,0.572,8.19,1.02,14.04
1,1,3,0,,0,55,1.57,Unknown,Unknown,80,Unknown,Unknown,0,,0.8,,1.04,19.56
1,0.2; 0.6; 0.2,0.095; 0.905,0,0,0,200,1.64,1 >> 1,Unknown,40,DMF >> IPA,Liquid >> Liquid,0,,0.767,18.84,1.09,22.54
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,70,DMSO; GBL,Liquid,0,10,0.734,,1.1,21.83
0.5; 0.5,0.7; 0.3,3,0,,0,Unknown,1.25,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.8082,,0.87,33.13
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.37,1.74,0.8,8.21
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,6.0 | nan,DMF >> IPA,Liquid >> Liquid,0,,0.6,10.42,1.015,17.11
1,1,3,0,0,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Liquid,0,,0.63,13.1,1.08,20.41
1,0.05; 0.79; 0.16,0.55; 2.45,0,,0,Unknown,1.635,0.8; 0.2,Unknown,Unknown,DMF; DMSO,Unknown,0,1200,0.7187,,1.19,21.29
1,0.03; 0.93; 0.04,3,0,,0,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.769,,1.17,24.3
1,1,3,0,0,0,Unknown,1.6,100; 8 >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.53,10.09,0.98,19.58
1,1,3,0,,0,Unknown,1.39,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.7,,0.87,16.23
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,60.0 | 450.0,DMF >> IPA,Liquid >> Liquid,0,,0.58,3.73,0.707,9.09
1,1,3,0,0,0,Unknown,1.56,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.66,9.9,0.94,15.9
1,0.83; 0.17,0.51; 2.49,0,0,0,Unknown,,4; 1,Unknown,30.0 | 150.0,DMF; DMSO,Liquid,0,90,0.599,13.74,1.101,20.85
1,1,2.8; 0.2,0,0,0,Unknown,2.35,1 >> 1,Unknown,20.0 | nan,DMF >> IPA,Liquid >> Liquid,0,,0.65,3.83,1.06,5.58
1,1,3,0,0,0,170,1.59,1 >> 1,Unknown,60.0 | 300.0,DMF >> IPA,Liquid >> Liquid,0,,0.67,14.05,0.95,21.96
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,nan | nan | 1.5,DMSO; GBL,Liquid,0,,0.744,13.7,0.96,19.1
40,2; 39,121,0,0,0,100,1.71,9; 1,Unknown,50,DMF; DMSO,Liquid,0,15,0.704,13.65,0.991,19.51
1,0.065; 0.79; 0.145,0.49; 2.51,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,10,0.77,17.7,1.096,21.3
1,1,3,0,0,0,Unknown,1.6,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,,0.787,18.49,1.08,21.72
1,0.08; 0.77; 0.15,0.51; 2.49,0,6,0,Unknown,1.6,4; 1,N2,23.0 | 8.0,DMF; DMSO,Liquid,0,60,0.713,15.47,1.078,20.115
1,0.05; 0.79; 0.16,0.45; 2.55,0,0,0,Unknown,1.7,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,30,0.74,17.8,1.12,21.47
2,2; 1,7,0,0,0,nan | 4.0,,3; 7,Unknown,30.0 | 8.0,DMF; DMSO,Liquid,0,5,0.266,1.4,0.95,5.1
1,0.4; 0.6,0.2; 2.8,0,0,0,Unknown,1.5,1,Unknown,Unknown,DMF,Liquid,0,1,0.648,15.1,1.03,22.69
1,1,3,0,0,0,Unknown,1.77,1,Unknown,40,1-Octane,Liquid,0,,0.75,,1.25,13.25
1,0.05; 0.54; 0.41,0.02; 2.98,0,,0,Unknown,1.55,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.7565,,1.06,25.91
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,100,DMF; GBL,Liquid,0,10,0.61,14.73,1.03,23.39
1,1,3,0,0,0,2.0 | 400.0,1.6,8; 1,Unknown,40.0 | 300.0,DMF; DMSO,Liquid,0,,,16.71,,
1,1,3,0,0,0,Unknown,1.6,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,10,0.787,11.23,1.068,21.99
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,,0.778,20.3,1.11,23.5
1,1,3,0,0,0,Unknown,1.6,1 >> 9; 1,Unknown,Unknown,DMF >> Cyclohexanol; IPA,Liquid >> Liquid,0,,0.495,9.98,0.923,21.823
1,1,3,0,0,0,150,2.31,7; 3,Unknown,Unknown,DMF; DMSO,Liquid,0,,0.761,7.75,1.41,7.22
1,1,0.2; 2.8,0,0,0,Unknown,1.62,1,Unknown,50,DMF,Liquid,0,,0.78,12.35,0.97,16.38
1,0.85; 0.15,0.45; 2.55,0,,0,Unknown,1.57,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,1,3,0,0,0,Unknown,1.6,4; 1,Unknown,30.0 | nan,DMF; NMP,Liquid,0,10,0.4,7.01,0.875,20
1,0.08; 0.81; 0.12,0.35; 2.65,0,0,0,Unknown,,Unknown,Unknown,Unknown,Unknown,Liquid,0,,0.517,,0.795,21.73
1,0.05; 0.93; 0.02,0.06; 2.94,0,,0,Unknown,1.55,0.83; 0.17,Unknown,Unknown,DMF; DMSO,Unknown,0,1200,0.8618,,1.08,24.42
1,1,3,0,0,0,35,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,,,0.77,18.18
1,1,3,0,0,0,10,1.59,1 >> 1,Unknown,300,H2O >> IPA,Liquid >> Liquid,0,,0.24,0.51,0.61,3.56
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,3.0 | 0.0,DMF >> none,Liquid >> Solid,0,,0.503,7.27,0.81,17.75
1,0.17; 0.83,2.49; 0.51,0,0,0,Unknown,,4; 1,Unknown,40.0 | 8.0,DMF; DMSO,Liquid,0,,0.75,16.4,1.05,20.8
0.05; 0.95,1,3,0,4,0,200,2.3,4; 1,Dry air,50.0 | 250.0,DMF; DMSO,Liquid,0,60,0.689,1.93,1.01,2.7
1,Unknown; 0.8; 0.2,3,0,,0,Unknown,1.3,Unknown,Unknown,Unknown,HFP,Unknown,0,,,,,
1,1,3,0,0,0,Unknown,1.6,Unknown,Unknown,50,Unknown,Liquid,0,,0.28,,0.73,13
1,1,3,0,0,0,55,1.6,1,Unknown,55,DMF,Liquid,0,70,0.699,12.26,0.943,18.61
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.36,0.55,0.91,1.76
1,0.3; 0.7,3,0,0,0,Unknown,1.57,9; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,,0.784,21.01,1.16,23.1
1,0.75; 0.25,0.25; 2.75,0,,0,Unknown,1.46,0.8; 0.2 >> 0.2; 0.8,Unknown,Unknown,DMF; DMSO >> HFP; CB,Unknown,0,,,,0.73,20.57
1; 1,2; 4,6,0,,0,Unknown,2.2,Unknown,Unknown,50 | 500,2-propanol,Unknown,0,300,0.64,,1.08,3.55
1,1,3,0,0,0,Unknown,1.6,1,Unknown,nan | 1000.0 | 2000.0,GBL,Liquid,0,60,0.426,6.62,0.85,18.15
1,1,3,0,0,0,Unknown,1.6,9; 1,Unknown,24.0 | 30.0,DMF; DMSO,Liquid,0,,0.72,16.82,1.12,20.59
1,1,3,0,0,0,Unknown,1.55,1 >> 1,Unknown,50.0 | 500.0,DMF >> IPA,Liquid >> Liquid,0,,0.728,13.08,1.054,17.042
1 | 1,0.05; 0.85; 0.1 | 2,0.45; 2.55 | 4,0,0,0,Unknown,,4; 1 >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,,,,
1,0.05; 0.81; 0.14,0.45; 2.55,0,,0,Unknown,1.619,0.8; 0.2,Unknown,Unknown,DMF; DMSO,Unknown,0,,0.639,,0.89,11.77
5,2; 4,16,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,15,0.7,10.79,1.07,13.41
1,1,3,0,0,0,Unknown,1.6,1; 4,Unknown,Unknown,DMF; DMSO,Liquid,0,10,0.63,10.36,1.02,16.05
1,1,3,0,0,0,Unknown,1.6,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,20,0.57,12.5,1.038,21.2
1,0.83; 0.17,0.0; 2.51,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.781,18.62,1.08,22.21
1,0.17; 0.83,0.75; 2.25,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,,0.75,15.38,1.06,18.9
1,1,3,0,0,0,25,1.6,1 >> 1,Unknown,40,DMF >> Ethanol,Liquid >> Liquid,0,,0.64,13.68,1.07,19.98
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,1.56,4; 1,Unknown,nan | 180.0,DMF; DMSO,Liquid,0,60,0.73,18.25,1.117,22.3
1,0.1; 0.9,0.3; 2.9,0,0,0,Unknown,1.58,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.68,10.61,1,15.65
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,40.0 | 200.0,DMSO; GBL,Liquid,0,8,0.65,13,1.07,18.59
1,0.05; 0.38; 0.57,0.2; 2.8,0,0,0,Unknown,,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.71,15.7,0.97,23.3
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,GBL,Liquid,0,2,0.766,17.27,1.02,22.11
1,1,3,0,0,0,Unknown,1.6,9; 1,Unknown,50.0 | nan,DMF; DMSO,Liquid,0,,0.747,18.56,1.08,23.19
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,nan | 20.0 | 7.0,DMF >> IPA,Liquid >> Liquid,0,,0.74,17.5,1.09,21.6
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,45,0.777,18.89,1.07,22.72
1,1,3,0,0,0,Unknown,1.6,92; 8 >> 1,Unknown,50.0 | nan,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.576,9.03,0.86,18.24
1,1,3,0,0,0,80,,8; 1,Unknown,nan | 900.0,DMF; DMSO,Liquid,0,,0.643,6.68,0.47,22.23
1,0.9; 0.1,0.3; 2.7,0,0,0,Unknown,,4; 1,Unknown,45.0 | 3.0,DMF; DMSO,Liquid,0,20,0.75,18.38,1.1,22.18
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,30,DMF >> IPA,Liquid >> Liquid,0,,0.63,14.96,1.02,23.39
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,Unknown,1.61,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,,16.5,,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,45,0.4,3.4,0.6,14
1,0.08; 0.77; 0.15,0.51; 2.49,0,6,0,Unknown,1.6,4; 1,N2,23.0 | 8.0,DMF; DMSO,Liquid,0,60,0.719,15.15,1.096,19.237
1,0.97; 0.03,0.09; 2.91,0,,0,Unknown,1.49,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.795,,1.16,25.9
1,1,3,0,0,0,Unknown,1.6,1,Unknown,80.0 | nan,DMF,Liquid,0,60,0.725,15,1,20.61
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,none >> IPA,Gas >> Liquid,0,,0.65,3.35,0.9,5.72
1,0.01; 0.99,0.03; 2.97,0,0,0,Unknown,1.6,7; 3,Unknown,Unknown,DMF; DMSO,Liquid,0,15,0.788,19.4,1.1,22.3
1,1,3,0,,0,Unknown,1.538,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.7975,,1.161,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,0.5,0.763,10.73,0.93,15.13
1,1,3,0,0,0,Unknown,2.3,3; 7,Unknown,nan | 300.0,DMSO; GBL,Liquid,0,10,0.75,5.76,1.31,5.86
1,0.83; 0.17,0.17; 2.83,0,0,0,200,,4; 1,Unknown,nan | 300.0,DMF; DMSO,Liquid,0,30,0.76,17.6,1,23.08
1,0.05; 0.79; 0.16,0.51; 2.49,0,,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,nan | 500.0 | 1000.0,DMF,Liquid,0,30,0.57,10.01,0.93,19.82
1,1,3,0,0,0,Unknown,1.6,1; 19 >> 1,Unknown,Unknown,acetonitrile; DMSO >> IPA,Liquid >> Liquid,0,,0.7,14.4,1.01,20.25
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,10,0.793,15.06,0.998,19.02
1,0.15; 0.85,0.45; 2.55,0,0,0,150,,1 >> 1,Unknown,nan | 430.0,DMF >> IPA,Liquid >> Liquid,0,,0.783,17.7,1.083,20.87
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,,0.72,13.2,1,18.3
1,1,3,0,0,0,Unknown,1.59,1,Unknown,Unknown,GBL,Liquid,0,,0.275,1.35,0.65,5.05
1,0.05; 0.7885; 0.1615,0.51; 2.49,0,,0,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,0.03; 0.945; 0.025,0.075; 2.925,0,,0,Unknown,1.57,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,50.0 | 400.0 | nan,NMP,Liquid,0,5,0.56,3.77,0.766,8.78
1,0.5; 0.5,3,0,0,0,Unknown,1.54,1,Unknown,Unknown,DMF,Liquid,0,5,0.69,14.82,0.98,22.01
1,1,3,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,0.5,0.67,1.22,0.61,2.93
1,1,3,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,,0.53,0.06,0.705,0.15
1,1,3,0,0,0,200,1.6,1 >> 1,Unknown,50,DMF >> IPA,Liquid >> Liquid,0,,0.78,18.89,1.136,21.36
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,1.59,Unknown,Unknown,Unknown,DMF; DMSO,Liquid,0,60,,,,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,,0.66,11.98,0.92,19.6
1,0.05; 0.95,0.15; 2.85,0,,0,nan | nan,1.55,0.8; 0.2,Unknown,30 | 6,DMF; DMSO,Unknown,0,,,,,
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,30,0.79,19.17,1.1,22.67
3,2; 2,10,0,0,0,Unknown,1.96,Unknown,Unknown,Unknown,DMF; DMSO,Liquid,0,30,0.667,6.01,0.747,12.053
1,1,1; 2,0,0,0,Unknown,,1,Unknown,Unknown,DMSO,Liquid,0,10,0.668,12.22,1.14,16.07
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,,0.764,17.9,1.12,20.9
1,1,3,0,,0,25,1.55,1,Unknown,Unknown,GBL:DMF:DMSO,Unknown,0,600,0.7001,,1.095,15.93
1,1,3,0,0,0,Unknown,1.6,1,Unknown,nan | 160.0,DMF,Liquid,0,60,0.66,12.47,0.945,20
5,1; 5,16,0,,0,Unknown,1.61,Unknown,Unknown,nan | nan,Unknown,Unknown,0,,,,,
1,0.05; 0.81; 0.14,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,45,0.71,16.9,1.064,22.24
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,45,0.7,14.25,0.98,22.5
1,1,3,0,0,0,Unknown,1.6,1,Unknown,nan | 5.0,DMF,Liquid,0,5,0.792,17.97,1.09,20.77
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,5,0.577,11.3,1.03,19.1
1,1,3,0,0,0,Unknown,1.6,1,Unknown,nan | 400.0,DMSO,Liquid,0,60,0.62,9.08,0.86,17.07
1,1,3,0,0,0,Unknown,1.6,Unknown,Unknown,nan | 200.0,Unknown,Unknown,0,,0.58,10.6,0.97,18.9
1,1,3,0,0,0,Unknown,1.48,4; 1 >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.772,18.57,1.07,22.42
1,0.83; 0.17,0.51; 2.49,0,0,0,Unknown,,8; 1 >> 1,Unknown,Unknown,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.69,14.44,0.926,22.57
1,1,3,0,,0,Unknown,1.47,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,1,3,0,0,0,100,1.6,1,Unknown,30.0 | nan,GBL,Liquid,0,10,0.6,10.35,0.873,19.76
1,1,3,0,0,0,200,1.6,11; 1 >> 1,Unknown,80,DMF; DMSO >> none,Liquid >> Gas,0,,0.752,15.4,1.04,19.7
1,1,3,0,0,0,Unknown,1.6,9; 1 >> 1,Unknown,nan | 50.0,DMF; DMSO >> IPA,Liquid >> Liquid,0,,0.723,16.43,1.05,21.62
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,0.133,0.737,19.24,1.116,23.38
5,0.3; 1.7; 4,16,0,,0,Unknown,1.54,Unknown,Unknown,Unknown,MAAc,Unknown,0,240,0.7923,,1.15,20.13
1,1,3,0,0,0,Unknown,,1,Unknown,Unknown,DMF,Liquid,0,,0.61,1.33,0.41,5.3
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,10,0.733,18.05,1.1,22.41
1,0.97; 0.03,0.09; 2.91,0,,0,150,1.56,Unknown,Unknown,60 | 150,Unknown,Unknown,0,600,0.759,,1.09,25.6
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,,,12.87,,
1,1,3,0,0,0,200,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.722,13.95,1.016,19.01
1,1,3,0,0,0,Unknown,1.6,3; 1,Unknown,nan | 8.0,DMF; DMSO,Liquid,0,15,0.56,7.15,0.66,19.26
1,0.83; 0.17,0.0; 2.51,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.681,17.63,1.14,22.54
1,1,3,0,0,0,Unknown,1.6,3; 1,Unknown,20.0 | 7.5,DMF; DMSO,Liquid,0,10,0.782,18.6,1.07,21.9
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,10,0.728,17.95,1.11,22.16
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,0.5,0.629,7.14,0.95,11.94
1,0.8; 0.2,0.6; 2.4,0,0,0,Unknown,1.59,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.754,16.37,1.066,20.36
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,23.0 | nan,DMSO; GBL,Liquid,0,,0.585,13.5,1.092,21.15
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> none,Liquid >> Gas,0,,0.77,18.33,1.11,21.38
1,1,3,0,0,0,30,1.6,1 >> 1,Unknown,60,DMF >> IPA,Liquid >> Liquid,0,,,,,
1,1,3,0,0,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Liquid,0,,0.734,17.03,1.043,22.25
1; 1,2,6,0,,0,Unknown,2.18,Unknown,Unknown,Unknown,DMSO,Unknown,0,300,,,0.88,1.03
1,1,3,0,0,0,Unknown,1.59,3; 7,Unknown,Unknown,DMSO; GBL,Liquid,0,10,0.78,17.4,1.08,20.7
1,0.85; 0.15,0.45; 2.55,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.73,17.31,1.12,20.77
1,1,3,0,0,0,Unknown,1.6,1,Unknown,60.0 | 400.0,DMF,Liquid,0,45,0.51,7.9,0.71,21.85
1,0.05; 0.81; 0.14,0.45; 2.55,0,0,0,10,,1,Unknown,Unknown,DMF,Liquid,0,10,0.66,14.88,1.07,20.97
1,0.05; 0.79; 0.16,0.51; 2.49,0,0,0,Unknown,,9; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,10,0.748,18.07,1.09,22.1
1,1,3,0,0,0,Unknown,1.58,1,Unknown,30,none,Gas,0,,0.63,5.9,0.965,9.7
1,1,3,0,0,0,Unknown,1.6,4; 1,Unknown,10.0 | 40.0,DMF; DMSO,Liquid,0,60,,,,
1,1,3,0,0,0,Unknown,,Unknown,Unknown,Unknown,Toluene,Liquid,0,5,0.575,0.67,0.845,1.385
1,1,3,0,0,0,Unknown,1.6,1 >> 1,Unknown,Unknown,DMF >> IPA,Liquid >> Liquid,0,,0.522,4.03,0.885,8.84
1,0.05; 0.85; 0.10,0.09; 2.91,0,,0,Unknown,,0.8; 0.2,Unknown,Unknown,DMF; DMSO,Unknown,0,,0.765,,1.177,21.69
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,,0.74,15.7,1.01,21.1
1,1,3,0,,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,,
1,1,3,0,0,0,Unknown,1.6,1,Unknown,Unknown,DMF,Liquid,0,40,0.71,14.14,1.03,20.58
1,0.83; 0.17,0.51; 2.49,0,0,0,Unknown,1.65,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.66,12.9,1.034,18.9
1,1,3,0,0,0,Unknown,1.6,3; 7,Unknown,Unknown,DMSO; GBL,Liquid,0,,0.63,10.73,0.99,21.58
1,0.83; 0.17,0.51; 2.49,0,0,0,Unknown,,4; 1,Unknown,Unknown,DMF; DMSO,Liquid,0,60,0.798,21.64,1.137,23.83
1,0.22; 0.78,0.15; 0.85,0,0,0,Unknown,1.67,Unknown,Unknown,Unknown,Unknown,Unknown,0,,0.816,19.09,1.15,20.35
1,1,3,0,,0,Unknown,1.6,0.9; 0.1,Unknown,Unknown,DMF; DE,Unknown,0,900,0.78,,1.09,22.6
1,1,3,0,,0,Unknown,1.6,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,,1.09,
1,1,3,0,0,0,Unknown,1.59,5; 5,Unknown,Unknown,DMSO; GBL,Liquid,0,,0.538,5.89,0.95,11.46
